name, unit_of_measure, category
"Water","g","Proximates"
"Energy","kcal","Proximates"
"Protein","g","Proximates"
"Total lipid (fat)","g","Proximates"
"Carbohydrate, by difference","g","Proximates"
"Fiber, total dietary","g","Proximates"
"Sugars, total","g","Proximates"
"Calcium, Ca","mg","Minerals"
"Iron, Fe","mg","Minerals"
"Magnesium, Mg","mg","Minerals"
"Phosphorus, P","mg","Minerals"
"Potassium, K","mg","Minerals"
"Sodium, Na","mg","Minerals"
"Zinc, Zn","mg","Minerals"
"Vitamin C, total ascorbic acid","mg","Vitamins"
"Thiamin","mg","Vitamins"
"Riboflavin","mg","Vitamins"
"Niacin","mg","Vitamins"
"Vitamin B-6","mg","Vitamins"
"Folate, DFE",µg,"Vitamins"
"Vitamin B-12",µg,"Vitamins"
"Vitamin A, RAE",µg,"Vitamins"
"Vitamin A, IU","IU","Vitamins"
"Vitamin E (alpha-tocopherol)","mg","Vitamins"
"Vitamin D (D2 + D3)",µg,"Vitamins"
"Vitamin D","IU","Vitamins"
"Vitamin K (phylloquinone)",µg,"Vitamins"
"Fatty acids, total saturated","g","Lipids"
"Fatty acids, total monounsaturated","g","Lipids"
"Fatty acids, total polyunsaturated","g","Lipids"
"Fatty acids, total trans","g","Lipids"
"Cholesterol","mg","Lipids"
"Caffeine","mg","Other"
